claim_id,claim_date,sale_id,repair_status
CL-13805,11/10/2021,OID-370587,Free Replaced
CL-13807,1/25/2022,OID-382797,Warranty Void
CL-13808,3/3/2022,OID-382964,Warranty Void
CL-13809,6/16/2022,OID-382984,Paid Repaired
CL-13818,1/15/2022,OID-384423,Paid Repaired
CL-13819,5/21/2021,OID-384788,Warranty Void
CL-13820,10/10/2021,OID-434281,Warranty Void
CL-13821,9/15/2021,OID-447100,Warranty Void
CL-13822,11/9/2021,OID-529231,Warranty Void
CL-13826,4/3/2022,OID-529695,Paid Repaired
CL-13827,11/11/2021,OID-357481,Free Replaced
CL-13828,11/11/2021,OID-357840,Free Replaced
CL-13829,11/11/2021,OID-358104,Free Replaced
CL-13830,11/11/2021,OID-358428,Free Replaced
CL-13831,11/11/2021,OID-358433,Free Replaced
CL-13833,11/11/2021,OID-359252,Free Replaced
CL-13835,11/11/2021,OID-368817,Free Replaced
CL-13836,11/11/2021,OID-369153,Free Replaced
CL-13837,11/11/2021,OID-369175,Free Replaced
CL-13838,11/11/2021,OID-369205,Free Replaced
CL-13839,11/11/2021,OID-369380,Free Replaced
CL-13840,11/11/2021,OID-369427,Free Replaced
CL-13842,11/11/2021,OID-369625,Free Replaced
CL-13843,11/11/2021,OID-369812,Free Replaced
CL-13844,11/11/2021,OID-369858,Free Replaced
CL-13845,11/11/2021,OID-370541,Free Replaced
CL-13848,11/11/2021,OID-370806,Free Replaced
CL-13850,4/3/2021,OID-374080,Warranty Void
CL-13851,11/20/2021,OID-374384,Paid Repaired
CL-13853,4/13/2022,OID-382758,Warranty Void
CL-13857,7/5/2021,OID-384347,Warranty Void
CL-13858,11/6/2021,OID-384455,Warranty Void
CL-13859,1/26/2022,OID-384526,Paid Repaired
CL-13860,4/21/2021,OID-384949,Warranty Void
CL-13861,4/16/2022,OID-529394,Warranty Void
CL-13862,6/13/2022,OID-529654,Paid Repaired
CL-13863,11/12/2021,OID-357350,Free Replaced
CL-13864,11/12/2021,OID-357694,Free Replaced
CL-13867,11/12/2021,OID-358150,Free Replaced
CL-13868,11/12/2021,OID-358243,Free Replaced
CL-13869,11/12/2021,OID-358521,Free Replaced
CL-13870,11/12/2021,OID-358620,Free Replaced
CL-13871,11/12/2021,OID-358707,Free Replaced
CL-13873,11/12/2021,OID-358993,Free Replaced
CL-13875,11/12/2021,OID-359340,Free Replaced
CL-13876,11/12/2021,OID-368968,Free Replaced
CL-13877,11/12/2021,OID-369146,Free Replaced
CL-13878,11/12/2021,OID-369147,Free Replaced
CL-13879,11/12/2021,OID-369394,Free Replaced
CL-13880,11/12/2021,OID-369504,Free Replaced
CL-13883,11/12/2021,OID-369726,Free Replaced
CL-13884,11/12/2021,OID-370197,Free Replaced
CL-13885,10/12/2021,OID-373758,Paid Repaired
CL-13886,1/22/2022,OID-382379,Warranty Void
CL-13887,7/24/2022,OID-382458,Paid Repaired
CL-13888,6/16/2022,OID-382692,Paid Repaired
CL-13889,5/31/2022,OID-382946,Paid Repaired
CL-13896,3/2/2021,OID-384955,Warranty Void
CL-13897,1/23/2022,OID-408736,Paid Repaired
CL-13898,8/12/2021,OID-408807,Warranty Void
CL-13905,11/13/2021,OID-358481,Free Replaced
CL-13906,11/13/2021,OID-358711,Free Replaced
CL-13908,11/13/2021,OID-359116,Free Replaced
CL-13909,11/13/2021,OID-359408,Warranty Void
CL-13910,11/13/2021,OID-368806,Free Replaced
CL-13911,11/13/2021,OID-368835,Free Replaced
CL-13912,11/13/2021,OID-369040,Free Replaced
CL-13913,11/13/2021,OID-369060,Free Replaced
CL-13918,11/13/2021,OID-369975,Free Replaced
CL-13923,3/18/2021,OID-373703,Warranty Void
CL-13924,12/22/2021,OID-382464,Warranty Void
CL-13931,11/5/2021,OID-384971,Paid Repaired
CL-13932,10/8/2021,OID-434296,Warranty Void
CL-13934,5/15/2022,OID-529047,Paid Repaired
CL-13937,4/6/2022,OID-529473,Warranty Void
CL-13940,11/14/2021,OID-358027,Free Replaced
CL-13942,11/14/2021,OID-358223,Free Replaced
CL-13943,11/14/2021,OID-358239,Free Replaced
CL-13946,11/14/2021,OID-359001,Free Replaced
CL-13947,11/14/2021,OID-359192,Free Replaced
CL-13948,11/14/2021,OID-359274,Free Replaced
CL-13949,11/14/2021,OID-359282,Free Replaced
CL-13950,11/14/2021,OID-359324,Free Replaced
CL-13952,11/14/2021,OID-368984,Free Replaced
CL-13953,11/14/2021,OID-369165,Free Replaced
CL-13954,11/14/2021,OID-369429,Free Replaced
CL-13960,11/14/2021,OID-370297,Free Replaced
CL-13961,11/14/2021,OID-370377,Free Replaced
CL-13964,12/19/2020,OID-374090,Warranty Void
CL-13965,12/19/2020,OID-374446,Warranty Void
CL-13966,4/13/2022,OID-382649,Warranty Void
CL-13973,2/26/2022,OID-384274,Paid Repaired
CL-13974,7/23/2021,OID-384420,Warranty Void
CL-13975,7/4/2021,OID-384923,Warranty Void
CL-13976,6/7/2021,OID-396115,Warranty Void
CL-13977,1/12/2022,OID-529069,Warranty Void
CL-13979,4/3/2022,OID-529652,Warranty Void
CL-13982,11/15/2021,OID-358107,Free Replaced
CL-13984,11/15/2021,OID-358339,Free Replaced
CL-13985,11/15/2021,OID-358679,Free Replaced
CL-13988,11/15/2021,OID-359222,Free Replaced
CL-13990,11/15/2021,OID-368933,Free Replaced
CL-13991,11/15/2021,OID-368981,Free Replaced
CL-13992,11/15/2021,OID-369123,Free Replaced
CL-13993,11/15/2021,OID-369440,Free Replaced
CL-13994,11/15/2021,OID-369491,Free Replaced
CL-13996,11/15/2021,OID-369552,Free Replaced
CL-13998,11/15/2021,OID-370094,Free Replaced
CL-14001,11/28/2020,OID-374238,Warranty Void
CL-14002,11/7/2021,OID-374322,Paid Repaired
CL-14004,2/7/2022,OID-382542,Warranty Void
CL-14005,5/30/2022,OID-382606,Paid Repaired
CL-14017,6/15/2021,OID-384377,Warranty Void
CL-14019,4/19/2021,OID-384764,Warranty Void
CL-14020,5/27/2021,OID-384892,Warranty Void
CL-14021,9/26/2021,OID-434310,Warranty Void
CL-14022,5/19/2022,OID-529072,Paid Repaired
CL-14024,3/1/2022,OID-529463,Warranty Void
CL-14025,4/5/2022,OID-529603,Warranty Void
CL-14026,11/16/2021,OID-357430,Free Replaced
CL-14027,11/16/2021,OID-357730,Free Replaced
CL-14029,11/16/2021,OID-358069,Free Replaced
CL-14030,11/16/2021,OID-358121,Free Replaced
CL-14031,11/16/2021,OID-358313,Free Replaced
CL-14033,11/16/2021,OID-358402,Free Replaced
CL-14035,11/16/2021,OID-358685,Free Replaced
CL-14036,11/16/2021,OID-358846,Free Replaced
CL-14037,11/16/2021,OID-358885,Free Replaced
CL-14038,11/16/2021,OID-358999,Free Replaced
CL-14039,11/16/2021,OID-359218,Free Replaced
CL-14040,11/16/2021,OID-359423,Warranty Void
CL-14041,11/16/2021,OID-368829,Free Replaced
CL-14042,11/16/2021,OID-368879,Free Replaced
CL-14045,11/16/2021,OID-370119,Free Replaced
CL-14048,11/16/2021,OID-370405,Free Replaced
CL-14051,1/12/2022,OID-373946,Paid Repaired
CL-14052,10/22/2021,OID-374463,Paid Repaired
CL-14053,5/10/2022,OID-382903,Paid Repaired
CL-14054,1/16/2022,OID-382916,Warranty Void
CL-14060,1/22/2022,OID-384273,Paid Repaired
CL-14061,9/17/2021,OID-384738,Warranty Void
CL-14063,5/17/2022,OID-529287,Paid Repaired
CL-14065,1/15/2022,OID-529591,Warranty Void
CL-14066,11/17/2021,OID-357321,Free Replaced
CL-14067,11/17/2021,OID-357576,Free Replaced
CL-14068,11/17/2021,OID-357686,Free Replaced
CL-14069,11/17/2021,OID-357740,Free Replaced
CL-14071,11/17/2021,OID-357989,Free Replaced
CL-14072,11/17/2021,OID-357999,Free Replaced
CL-14073,11/17/2021,OID-358289,Free Replaced
CL-14074,11/17/2021,OID-358483,Free Replaced
CL-14077,11/17/2021,OID-359138,Free Replaced
CL-14080,11/17/2021,OID-368815,Free Replaced
CL-14081,11/17/2021,OID-368824,Free Replaced
CL-14082,11/17/2021,OID-368972,Free Replaced
CL-14083,11/17/2021,OID-369046,Free Replaced
CL-14084,11/17/2021,OID-369096,Free Replaced
CL-14085,11/17/2021,OID-369566,Free Replaced
CL-14086,11/17/2021,OID-369568,Free Replaced
CL-14089,11/17/2021,OID-370466,Free Replaced
CL-14090,2/24/2021,OID-374409,Warranty Void
CL-14091,6/21/2022,OID-382689,Paid Repaired
CL-14097,6/21/2021,OID-384311,Warranty Void
CL-14098,1/10/2022,OID-384371,Paid Repaired
CL-14099,10/2/2021,OID-384507,Warranty Void
CL-14101,4/21/2021,OID-384735,Warranty Void
CL-14102,6/10/2021,OID-384754,Warranty Void
CL-14103,8/17/2021,OID-384827,Warranty Void
CL-14104,8/19/2021,OID-421569,Warranty Void
CL-14105,1/15/2022,OID-529024,Warranty Void
CL-14107,11/3/2021,OID-529474,Warranty Void
CL-14108,11/18/2021,OID-357417,Free Replaced
CL-14109,11/18/2021,OID-357445,Free Replaced
CL-14110,11/18/2021,OID-357547,Free Replaced
CL-14111,11/18/2021,OID-357812,Free Replaced
CL-14112,11/18/2021,OID-357978,Free Replaced
CL-14113,11/18/2021,OID-358140,Free Replaced
CL-14114,11/18/2021,OID-358295,Free Replaced
CL-14115,11/18/2021,OID-358475,Free Replaced
CL-14116,11/18/2021,OID-358606,Free Replaced
CL-14118,11/18/2021,OID-359199,Free Replaced
CL-14120,11/18/2021,OID-359394,Warranty Void
CL-14121,11/18/2021,OID-368969,Free Replaced
CL-14122,11/18/2021,OID-369210,Free Replaced
CL-14123,11/18/2021,OID-369312,Free Replaced
CL-14124,11/18/2021,OID-369815,Free Replaced
CL-14128,11/18/2021,OID-370362,Free Replaced
CL-14130,11/18/2021,OID-370432,Free Replaced
CL-14134,7/27/2021,OID-373549,Warranty Void
CL-14135,2/27/2021,OID-374022,Warranty Void
CL-14136,12/18/2021,OID-382250,Warranty Void
CL-14139,1/2/2022,OID-382607,Warranty Void
CL-14141,9/28/2021,OID-446706,Warranty Void
CL-14146,11/19/2021,OID-358980,Free Replaced
CL-14148,11/19/2021,OID-359249,Free Replaced
CL-14151,11/19/2021,OID-368745,Free Replaced
CL-14152,11/19/2021,OID-369039,Free Replaced
CL-14157,8/1/2021,OID-374233,Paid Repaired
CL-14161,10/23/2021,OID-384268,Warranty Void
CL-14162,1/28/2022,OID-384520,Paid Repaired
CL-14164,6/21/2021,OID-384614,Warranty Void
CL-14165,5/27/2021,OID-384635,Warranty Void
CL-14166,9/26/2021,OID-384776,Paid Repaired
CL-14167,4/20/2021,OID-384861,Warranty Void
CL-14168,9/17/2021,OID-384880,Paid Repaired
CL-14169,10/8/2021,OID-434348,Warranty Void
CL-14170,7/26/2021,OID-446980,Warranty Void
CL-14171,12/14/2021,OID-447054,Paid Repaired
CL-14172,5/9/2022,OID-528981,Warranty Void
CL-14175,11/20/2021,OID-357571,Free Replaced
CL-14176,11/20/2021,OID-357660,Free Replaced
CL-14177,11/20/2021,OID-357781,Free Replaced
CL-14179,11/20/2021,OID-358359,Free Replaced
CL-14182,11/20/2021,OID-358847,Free Replaced
CL-14183,11/20/2021,OID-359228,Free Replaced
CL-14184,11/20/2021,OID-368694,Free Replaced
CL-14185,11/20/2021,OID-368754,Free Replaced
CL-14186,11/20/2021,OID-368868,Free Replaced
CL-14187,11/20/2021,OID-368962,Free Replaced
CL-14188,11/20/2021,OID-369350,Free Replaced
CL-14189,11/20/2021,OID-369844,Free Replaced
CL-14190,11/20/2021,OID-369856,Free Replaced
CL-14191,11/20/2021,OID-369873,Free Replaced
CL-14193,11/20/2021,OID-369954,Free Replaced
CL-14194,11/20/2021,OID-370036,Free Replaced
CL-14198,6/3/2022,OID-382354,Paid Repaired
CL-14199,7/7/2022,OID-382467,Paid Repaired
CL-14202,9/20/2021,OID-384310,Warranty Void
CL-14203,8/8/2021,OID-384814,Warranty Void
CL-14204,9/16/2021,OID-395913,Warranty Void
CL-14205,9/20/2021,OID-433990,Warranty Void
CL-14208,11/21/2021,OID-357647,Free Replaced
CL-14209,11/21/2021,OID-357655,Free Replaced
CL-14210,11/21/2021,OID-357760,Free Replaced
CL-14212,11/21/2021,OID-358300,Free Replaced
CL-14213,11/21/2021,OID-358356,Free Replaced
CL-14214,11/21/2021,OID-358387,Free Replaced
CL-14215,11/21/2021,OID-359093,Free Replaced
CL-14216,11/21/2021,OID-359130,Free Replaced
CL-14217,11/21/2021,OID-368741,Free Replaced
CL-14218,11/21/2021,OID-368894,Free Replaced
CL-14219,11/21/2021,OID-369072,Free Replaced
CL-14221,11/21/2021,OID-369636,Free Replaced
CL-14222,11/21/2021,OID-369693,Free Replaced
CL-14223,11/21/2021,OID-369708,Free Replaced
CL-14224,11/21/2021,OID-369961,Free Replaced
CL-14225,11/21/2021,OID-370054,Free Replaced
CL-14229,11/21/2021,OID-370502,Free Replaced
CL-14230,11/21/2021,OID-370548,Free Replaced
CL-14231,6/1/2021,OID-373528,Warranty Void
CL-14232,4/25/2022,OID-373553,Paid Repaired
CL-14233,1/21/2022,OID-373778,Paid Repaired
CL-14234,2/13/2022,OID-382484,Warranty Void
CL-14243,2/3/2022,OID-384533,Paid Repaired
CL-14244,1/18/2022,OID-384535,Paid Repaired
CL-14245,8/11/2021,OID-384549,Warranty Void
CL-14248,2/27/2022,OID-446774,Paid Repaired
CL-14249,7/21/2022,OID-528945,Paid Repaired
CL-14250,3/30/2022,OID-529037,Warranty Void
CL-14252,5/24/2022,OID-529183,Paid Repaired
CL-14253,10/23/2021,OID-529542,Warranty Void
CL-14255,11/22/2021,OID-357368,Free Replaced
CL-14256,11/22/2021,OID-357553,Free Replaced
CL-14257,11/22/2021,OID-357777,Free Replaced
CL-14258,11/22/2021,OID-357791,Free Replaced
CL-14259,11/22/2021,OID-357792,Free Replaced
CL-14260,11/22/2021,OID-358142,Free Replaced
CL-14261,11/22/2021,OID-358668,Free Replaced
CL-14265,11/22/2021,OID-359194,Free Replaced
CL-14266,11/22/2021,OID-368863,Free Replaced
CL-14267,11/22/2021,OID-369021,Free Replaced
CL-14268,11/22/2021,OID-369142,Free Replaced
CL-14272,11/22/2021,OID-369404,Free Replaced
CL-14275,11/22/2021,OID-369783,Free Replaced
CL-14279,6/16/2021,OID-373656,Warranty Void
CL-14280,2/16/2021,OID-373955,Warranty Void
CL-14281,10/24/2020,OID-374335,Warranty Void
CL-14284,4/7/2022,OID-529211,Warranty Void
CL-14287,11/23/2021,OID-357475,Free Replaced
CL-14288,11/23/2021,OID-357623,Free Replaced
CL-14293,11/23/2021,OID-358520,Free Replaced
CL-14295,11/23/2021,OID-358793,Free Replaced
CL-14298,11/23/2021,OID-359328,Warranty Void
CL-14299,11/23/2021,OID-369073,Free Replaced
CL-14300,11/23/2021,OID-369111,Free Replaced
CL-14302,11/23/2021,OID-369248,Free Replaced
CL-14304,11/23/2021,OID-369852,Free Replaced
CL-14305,11/23/2021,OID-369861,Free Replaced
CL-14308,11/23/2021,OID-370373,Free Replaced
CL-14309,11/23/2021,OID-370421,Free Replaced
CL-14312,11/23/2021,OID-370615,Free Replaced
CL-14313,11/23/2021,OID-370695,Warranty Void
CL-14314,10/10/2021,OID-373823,Paid Repaired
CL-14321,8/31/2021,OID-384284,Warranty Void
CL-14323,9/13/2021,OID-408773,Warranty Void
CL-14324,7/14/2021,OID-434104,Warranty Void
CL-14325,6/26/2021,OID-434269,Warranty Void
CL-14326,11/22/2021,OID-446959,Paid Repaired
CL-14328,3/27/2022,OID-529445,Warranty Void
CL-14329,11/24/2021,OID-357195,Free Replaced
CL-14330,11/24/2021,OID-357460,Free Replaced
CL-14331,11/24/2021,OID-357670,Free Replaced
CL-14332,11/24/2021,OID-357719,Free Replaced
CL-14333,11/24/2021,OID-357964,Free Replaced
CL-14334,11/24/2021,OID-358105,Free Replaced
CL-14336,11/24/2021,OID-358415,Free Replaced
CL-14337,11/24/2021,OID-358817,Free Replaced
CL-14340,11/24/2021,OID-359327,Warranty Void
CL-14341,11/24/2021,OID-368692,Free Replaced
CL-14342,11/24/2021,OID-368747,Free Replaced
CL-14343,11/24/2021,OID-369047,Free Replaced
CL-14345,11/24/2021,OID-369569,Free Replaced
CL-14346,11/24/2021,OID-369570,Free Replaced
CL-14347,11/24/2021,OID-370485,Free Replaced
CL-14348,7/16/2021,OID-374312,Paid Repaired
CL-14349,4/8/2022,OID-384565,Paid Repaired
CL-14350,3/11/2022,OID-382654,Warranty Void
CL-14353,5/31/2021,OID-384496,Warranty Void
CL-14355,11/26/2021,OID-384800,Paid Repaired
CL-14356,5/3/2021,OID-384829,Warranty Void
CL-14357,2/23/2022,OID-434105,Paid Repaired
CL-14358,5/7/2022,OID-528936,Warranty Void
CL-14361,11/25/2021,OID-357232,Free Replaced
CL-14362,11/25/2021,OID-357611,Free Replaced
CL-14363,11/25/2021,OID-357783,Free Replaced
CL-14364,11/25/2021,OID-357799,Free Replaced
CL-14366,11/25/2021,OID-357884,Free Replaced
CL-14367,11/25/2021,OID-357898,Free Replaced
CL-14369,11/25/2021,OID-358214,Free Replaced
CL-14370,11/25/2021,OID-358622,Free Replaced
CL-14372,11/25/2021,OID-359141,Free Replaced
CL-14378,11/25/2021,OID-370225,Free Replaced
CL-14379,11/25/2021,OID-370677,Warranty Void
CL-14380,11/25/2021,OID-370679,Warranty Void
CL-14381,1/5/2021,OID-373950,Warranty Void
CL-14387,11/30/2021,OID-384545,Paid Repaired
CL-14388,5/12/2021,OID-384777,Warranty Void
CL-14389,5/2/2021,OID-384859,Warranty Void
CL-14390,10/13/2021,OID-408488,Warranty Void
CL-14392,11/7/2021,OID-529655,Warranty Void
CL-14393,11/26/2021,OID-357289,Free Replaced
CL-14394,11/26/2021,OID-357293,Free Replaced
CL-14395,11/26/2021,OID-357408,Free Replaced
CL-14396,11/26/2021,OID-357772,Free Replaced
CL-14397,11/26/2021,OID-357794,Free Replaced
CL-14398,11/26/2021,OID-357857,Free Replaced
CL-14399,11/26/2021,OID-357915,Free Replaced
CL-14400,11/26/2021,OID-358103,Free Replaced
CL-14401,11/26/2021,OID-358184,Free Replaced
CL-14402,11/26/2021,OID-358312,Free Replaced
CL-14403,11/26/2021,OID-358578,Free Replaced
CL-14405,11/26/2021,OID-358978,Free Replaced
CL-14407,11/26/2021,OID-368636,Free Replaced
CL-14408,11/26/2021,OID-368651,Free Replaced
CL-14409,11/26/2021,OID-368935,Free Replaced
CL-14413,11/26/2021,OID-370141,Free Replaced
CL-14414,10/14/2021,OID-373601,Paid Repaired
CL-14415,9/3/2021,OID-374010,Paid Repaired
CL-14416,10/9/2020,OID-374453,Warranty Void
CL-14417,5/20/2022,OID-382339,Paid Repaired
CL-14419,6/21/2022,OID-382874,Paid Repaired
CL-14420,2/2/2022,OID-382898,Warranty Void
CL-14427,11/9/2021,OID-384648,Paid Repaired
CL-14428,8/20/2021,OID-384722,Warranty Void
CL-14429,5/26/2021,OID-384771,Warranty Void
CL-14430,7/28/2021,OID-384866,Warranty Void
CL-14431,11/22/2021,OID-395835,Warranty Void
CL-14432,6/1/2021,OID-395858,Warranty Void
CL-14433,12/27/2021,OID-408848,Paid Repaired
CL-14434,5/25/2022,OID-528966,Paid Repaired
CL-14436,6/21/2022,OID-529031,Paid Repaired
CL-14437,3/17/2022,OID-529338,Warranty Void
CL-14439,11/27/2021,OID-357296,Free Replaced
CL-14440,11/27/2021,OID-357323,Free Replaced
CL-14441,11/27/2021,OID-357450,Free Replaced
CL-14442,11/27/2021,OID-358175,Free Replaced
CL-14448,11/27/2021,OID-359096,Free Replaced
CL-14449,11/27/2021,OID-359286,Warranty Void
CL-14450,11/27/2021,OID-368820,Free Replaced
CL-14451,11/27/2021,OID-369028,Free Replaced
CL-14452,11/27/2021,OID-369031,Free Replaced
CL-14453,11/27/2021,OID-369121,Free Replaced
CL-14454,11/27/2021,OID-369167,Free Replaced
CL-14456,11/27/2021,OID-369240,Free Replaced
CL-14458,11/27/2021,OID-369372,Free Replaced
CL-14460,11/27/2021,OID-369766,Free Replaced
CL-14464,11/27/2021,OID-370389,Free Replaced
CL-14466,11/27/2021,OID-370586,Free Replaced
CL-14468,9/16/2021,OID-373809,Paid Repaired
CL-14469,3/8/2021,OID-373848,Warranty Void
CL-14470,6/26/2021,OID-373966,Paid Repaired
CL-14471,12/3/2021,OID-374061,Paid Repaired
CL-14472,4/13/2021,OID-374131,Warranty Void
CL-14473,2/28/2021,OID-374422,Paid Repaired
CL-14476,11/10/2021,OID-382983,Warranty Void
CL-14483,2/28/2022,OID-384354,Paid Repaired
CL-14484,1/29/2022,OID-384430,Paid Repaired
CL-14485,8/25/2021,OID-384448,Warranty Void
CL-14486,8/3/2021,OID-384495,Warranty Void
CL-14488,9/2/2021,OID-384712,Warranty Void
CL-14489,9/10/2021,OID-384824,Warranty Void
CL-14491,12/1/2021,OID-529546,Warranty Void
CL-14492,11/28/2021,OID-357976,Free Replaced
CL-14494,11/28/2021,OID-358565,Free Replaced
CL-14495,11/28/2021,OID-358587,Free Replaced
CL-14496,11/28/2021,OID-358605,Free Replaced
CL-14497,11/28/2021,OID-358837,Free Replaced
CL-14499,11/28/2021,OID-359132,Free Replaced
CL-14500,11/28/2021,OID-368594,Free Replaced
CL-14501,11/28/2021,OID-368686,Free Replaced
CL-14502,11/28/2021,OID-368729,Free Replaced
CL-14503,11/28/2021,OID-368760,Free Replaced
CL-14504,11/28/2021,OID-368773,Free Replaced
CL-14505,11/28/2021,OID-368864,Free Replaced
CL-14506,11/28/2021,OID-369814,Free Replaced
CL-14508,11/28/2021,OID-369848,Free Replaced
CL-14509,11/28/2021,OID-369950,Free Replaced
CL-14510,11/28/2021,OID-370341,Free Replaced
CL-14511,11/28/2021,OID-370361,Free Replaced
CL-14513,7/19/2021,OID-373976,Paid Repaired
CL-14514,4/14/2021,OID-374035,Warranty Void
CL-14515,3/18/2022,OID-382137,Warranty Void
CL-14517,1/21/2022,OID-382548,Warranty Void
CL-14519,6/17/2022,OID-382794,Paid Repaired
CL-14520,6/12/2022,OID-382847,Paid Repaired
CL-14526,7/3/2021,OID-384581,Warranty Void
CL-14527,4/15/2021,OID-384655,Warranty Void
CL-14528,7/14/2021,OID-421282,Warranty Void
CL-14530,11/29/2021,OID-357170,Free Replaced
CL-14531,11/29/2021,OID-357279,Free Replaced
CL-14532,11/29/2021,OID-357361,Free Replaced
CL-14533,11/29/2021,OID-357484,Free Replaced
CL-14534,11/29/2021,OID-357586,Free Replaced
CL-14535,11/29/2021,OID-357920,Free Replaced
CL-14537,11/29/2021,OID-357963,Free Replaced
CL-14538,11/29/2021,OID-358066,Free Replaced
CL-14539,11/29/2021,OID-358466,Free Replaced
CL-14541,11/29/2021,OID-359046,Free Replaced
CL-14542,11/29/2021,OID-359275,Warranty Void
CL-14543,11/29/2021,OID-368562,Free Replaced
CL-14544,11/29/2021,OID-368693,Free Replaced
CL-14545,11/29/2021,OID-368862,Free Replaced
CL-14546,11/29/2021,OID-368911,Free Replaced
CL-14547,11/29/2021,OID-368931,Free Replaced
CL-14553,11/29/2021,OID-370523,Free Replaced
CL-14555,12/31/2020,OID-373819,Warranty Void
CL-14556,5/4/2022,OID-382423,Warranty Void
CL-14557,1/28/2022,OID-382479,Warranty Void
CL-14561,7/12/2022,OID-528885,Paid Repaired
CL-14563,3/21/2022,OID-529087,Warranty Void
CL-14564,6/1/2022,OID-529410,Paid Repaired
CL-14565,12/12/2021,OID-529411,Warranty Void
CL-14566,1/28/2022,OID-529586,Warranty Void
CL-14567,11/30/2021,OID-357120,Free Replaced
CL-14568,11/30/2021,OID-357285,Free Replaced
CL-14569,11/30/2021,OID-357656,Free Replaced
CL-14570,11/30/2021,OID-358042,Free Replaced
CL-14572,11/30/2021,OID-358187,Free Replaced
CL-14574,11/30/2021,OID-358317,Free Replaced
CL-14575,11/30/2021,OID-358360,Free Replaced
CL-14576,11/30/2021,OID-358549,Free Replaced
CL-14579,11/30/2021,OID-368616,Free Replaced
CL-14580,11/30/2021,OID-368998,Free Replaced
CL-14581,11/30/2021,OID-369015,Free Replaced
CL-14582,11/30/2021,OID-369105,Free Replaced
CL-14583,11/30/2021,OID-369657,Free Replaced
CL-14586,11/30/2021,OID-369976,Free Replaced
CL-14587,11/30/2021,OID-370105,Free Replaced
CL-14588,11/30/2021,OID-370312,Free Replaced
CL-14590,12/24/2020,OID-374181,Warranty Void
CL-14591,11/15/2021,OID-374457,Paid Repaired
CL-14592,2/14/2022,OID-382192,Warranty Void
CL-14593,1/1/2022,OID-382381,Warranty Void
CL-14600,5/25/2022,OID-529656,Paid Repaired
CL-14601,12/1/2021,OID-357676,Free Replaced
CL-14602,12/1/2021,OID-357842,Free Replaced
CL-14606,12/1/2021,OID-358770,Free Replaced
CL-14607,12/1/2021,OID-359038,Free Replaced
CL-14608,12/1/2021,OID-359067,Free Replaced
CL-14609,12/1/2021,OID-359103,Free Replaced
CL-14610,12/1/2021,OID-368750,Free Replaced
CL-14611,12/1/2021,OID-368845,Free Replaced
CL-14612,12/1/2021,OID-368892,Free Replaced
CL-14613,12/1/2021,OID-368919,Free Replaced
CL-14614,12/1/2021,OID-369106,Free Replaced
CL-14615,12/1/2021,OID-369247,Free Replaced
CL-14616,12/1/2021,OID-369403,Free Replaced
CL-14619,2/9/2021,OID-374023,Warranty Void
CL-14620,6/24/2021,OID-384318,Warranty Void
CL-14622,8/17/2022,OID-382138,Paid Repaired
CL-14623,12/25/2021,OID-382491,Warranty Void
CL-14624,3/29/2022,OID-382635,Warranty Void
CL-14633,11/12/2021,OID-384297,Warranty Void
CL-14634,5/20/2021,OID-384623,Warranty Void
CL-14635,4/16/2021,OID-384843,Warranty Void
CL-14636,11/21/2021,OID-396092,Paid Repaired
CL-14637,1/25/2022,OID-434275,Paid Repaired
CL-14639,5/28/2022,OID-528893,Paid Repaired
CL-14642,12/2/2021,OID-357071,Free Replaced
CL-14643,12/2/2021,OID-357167,Free Replaced
CL-14644,12/2/2021,OID-357393,Free Replaced
CL-14645,12/2/2021,OID-357459,Free Replaced
CL-14646,12/2/2021,OID-357480,Free Replaced
CL-14647,12/2/2021,OID-357723,Free Replaced
CL-14648,12/2/2021,OID-357997,Free Replaced
CL-14649,12/2/2021,OID-358383,Free Replaced
CL-14652,12/2/2021,OID-358994,Free Replaced
CL-14653,12/2/2021,OID-359005,Free Replaced
CL-14654,12/2/2021,OID-359159,Free Replaced
CL-14658,12/2/2021,OID-369571,Free Replaced
CL-14660,12/2/2021,OID-369811,Free Replaced
CL-14661,12/2/2021,OID-369860,Free Replaced
CL-14663,12/2/2021,OID-370198,Free Replaced
CL-14668,4/11/2022,OID-373586,Paid Repaired
CL-14669,1/24/2022,OID-382476,Warranty Void
CL-14677,10/10/2021,OID-384758,Paid Repaired
CL-14678,8/13/2021,OID-408554,Warranty Void
CL-14679,11/4/2021,OID-529540,Warranty Void
CL-14680,12/3/2021,OID-357218,Free Replaced
CL-14681,12/3/2021,OID-357314,Free Replaced
CL-14682,12/3/2021,OID-357490,Free Replaced
CL-14683,12/3/2021,OID-357718,Free Replaced
CL-14684,12/3/2021,OID-357759,Free Replaced
CL-14685,12/3/2021,OID-357866,Free Replaced
CL-14688,12/3/2021,OID-358651,Free Replaced
CL-14690,12/3/2021,OID-358924,Free Replaced
CL-14691,12/3/2021,OID-359223,Warranty Void
CL-14692,12/3/2021,OID-369162,Free Replaced
CL-14693,12/3/2021,OID-369770,Free Replaced
CL-14695,12/3/2021,OID-369898,Free Replaced
CL-14696,12/3/2021,OID-369985,Free Replaced
CL-14697,12/3/2021,OID-370134,Free Replaced
CL-14699,12/3/2021,OID-370275,Free Replaced
CL-14701,7/28/2021,OID-373638,Paid Repaired
